handle: 0x003b, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x003c, uuid: f000aa81-0451-4000-b000-000000000000
handle: 0x003d, uuid: 00002902-0000-1000-8000-00805f9b34fb
handle: 0x003e, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x003f, uuid: f000aa82-0451-4000-b000-000000000000
handle: 0x0040, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x0041, uuid: f000aa83-0451-4000-b000-000000000000
handle: 0x0042, uuid: 00002800-0000-1000-8000-00805f9b34fb
handle: 0x0043, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x0044, uuid: f000aa71-0451-4000-b000-000000000000
handle: 0x0045, uuid: 00002902-0000-1000-8000-00805f9b34fb
handle: 0x0046, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x0047, uuid: f000aa72-0451-4000-b000-000000000000
handle: 0x0048, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x0049, uuid: f000aa73-0451-4000-b000-000000000000
handle: 0x004a, uuid: 00002800-0000-1000-8000-00805f9b34fb
handle: 0x004b, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x004c, uuid: 0000ffe1-0000-1000-8000-00805f9b34fb
handle: 0x004d, uuid: 00002902-0000-1000-8000-00805f9b34fb
handle: 0x004e, uuid: 00002901-0000-1000-8000-00805f9b34fb
handle: 0x004f, uuid: 00002800-0000-1000-8000-00805f9b34fb
handle: 0x0050, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x0051, uuid: f000aa65-0451-4000-b000-000000000000
handle: 0x0052, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x0053, uuid: f000aa66-0451-4000-b000-000000000000
handle: 0x0054, uuid: 00002800-0000-1000-8000-00805f9b34fb
handle: 0x0055, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x0056, uuid: f000ac01-0451-4000-b000-000000000000
handle: 0x0057, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x0058, uuid: f000ac02-0451-4000-b000-000000000000
handle: 0x0059, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x005a, uuid: f000ac03-0451-4000-b000-000000000000
handle: 0x005b, uuid: 00002800-0000-1000-8000-00805f9b34fb
handle: 0x005c, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x005d, uuid: f000ccc1-0451-4000-b000-000000000000
handle: 0x005e, uuid: 00002902-0000-1000-8000-00805f9b34fb
handle: 0x005f, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x0060, uuid: f000ccc2-0451-4000-b000-000000000000
handle: 0x0061, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x0062, uuid: f000ccc3-0451-4000-b000-000000000000
handle: 0x0063, uuid: 00002800-0000-1000-8000-00805f9b34fb
handle: 0x0064, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x0065, uuid: f000ffc1-0451-4000-b000-000000000000
handle: 0x0066, uuid: 00002902-0000-1000-8000-00805f9b34fb
handle: 0x0067, uuid: 00002901-0000-1000-8000-00805f9b34fb
handle: 0x0068, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x0069, uuid: f000ffc2-0451-4000-b000-000000000000
handle: 0x006a, uuid: 00002902-0000-1000-8000-00805f9b34fb
handle: 0x006b, uuid: 00002901-0000-1000-8000-00805f9b34fb
handle: 0x006c, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x006d, uuid: f000ffc3-0451-4000-b000-000000000000
handle: 0x006e, uuid: 00002901-0000-1000-8000-00805f9b34fb
handle: 0x006f, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x0070, uuid: f000ffc4-0451-4000-b000-000000000000
handle: 0x0071, uuid: 00002902-0000-1000-8000-00805f9b34fb
handle: 0x0072, uuid: 00002901-0000-1000-8000-00805f9b34fb
